scene,frame_count_actual,iteration,delta_norm_mean,delta_norm_p95,delta_norm_max,pose_ate_rmse_aligned,pose_ate_mean_aligned,pose_ate_max_aligned,pose_are_mean_deg_aligned,pose_are_max_deg_aligned,pose_rpe_rot_mean_deg,pose_rpe_trans_mean_aligned,pose_sim3_scale,frame_count_requested,inference_time_ms,peak_cuda_memory_mb
scene0000_00,25,4,0.0004869433760177344,0.0016076136380434036,0.002278902567923069,1.1791560010416096,0.6580697298880673,5.297826595024402,8.23482999515089,107.56985915325504,11.068837775856968,0.6942892872892973,2.720094559067518,25,1652.6100439950824,8256.69287109375
scene0000_00,50,4,0.0004595354839693755,0.0012978517916053534,0.0014462503604590893,0.1414255059288106,0.12778843029357548,0.2570258015377988,2.378256877954905,10.17933014287904,2.2599535482415054,0.1261586310061296,3.4783860323028533,50,3870.585411321372,10501.40478515625
scene0000_00,100,4,0.00044155202340334654,0.001489134505391121,0.0029477165080606937,0.18637280645520551,0.1486136365680244,0.8326139172321533,3.362996426895043,17.18671565329014,2.4303414064671305,0.12209849638111105,3.4669735298856286,100,12452.024050988257,14989.919921875
scene0000_00,200,4,0.0005219277809374034,0.0016225444851443172,0.004306982271373272,0.19329888092690603,0.1620208726232077,0.6497327066646053,3.711202763692297,20.715494379251975,2.012253589529071,0.1007679087908456,3.507415679594832,200,43929.467864800245,23960.26123046875
scene0000_00,500,4,0.005633641965687275,0.02558198943734169,0.05514300987124443,1.3663347664261165,1.206868880334796,3.631145986077755,36.631050458995965,178.1777437668459,7.463645019876842,0.25076288957999693,2.4002180559051824,500,261152.47297333553,50877.76953125
scene0691_00,25,4,0.0002437727089272812,0.00042224739445373416,0.0004829192766919732,0.07993937070795383,0.07237969020211367,0.15649007799289302,3.6927614562593942,6.425694841208502,2.279649564226671,0.07115013638041177,3.110860517198831,25,1380.833209026605,8261.50146484375
scene0691_00,50,4,0.00023480351956095546,0.0004603167180903256,0.000544821668881923,0.07185836473787764,0.06281221687836874,0.16551147440680453,3.5318263355296478,6.315377374728897,1.4112334328233413,0.04529139288808517,3.1390714659753653,50,3928.0949598178267,10500.89208984375
scene0691_00,100,4,0.00032269448274746537,0.00043335711234249175,0.007166149560362101,0.07453809706050843,0.06580812724100461,0.16336987032931347,3.687847183029062,6.870441139541586,0.9127412914648166,0.0351102036909502,3.1822985772141896,100,12614.007561001927,14986.95654296875
scene0691_00,200,4,0.0003410562057979405,0.000531620578840375,0.0006716435891576111,0.07426877604200521,0.06506876257076695,0.1890033907031091,3.6724905752684602,7.430115820550255,0.6325258790023112,0.027573198565694318,3.1624285761147686,200,44189.00600494817,23959.8974609375
scene0691_00,500,4,0.0005409402656368911,0.000875862839166075,0.0013895987067371607,0.1335507491732786,0.11857599450582355,0.3678703605580869,4.458770964581734,9.682373725000899,0.8755804946930186,0.04014622389808269,3.014359878296085,500,260169.65577472,50877.36328125
scene0013_02,25,4,0.00037980597699061036,0.0007341823657043278,0.0008179928991012275,0.04495221125415938,0.04187024174359017,0.0736396761602698,1.7334531034501202,3.4132904844340217,1.1523216628265252,0.039449332046885895,2.3899196086585293,25,1374.649244826287,8261.50146484375
scene0013_02,50,4,0.0004049013077747077,0.0008863884722813964,0.001001077122054994,0.044389578773311254,0.04083871450639118,0.08200702335500276,1.5951941139558654,3.565876779169724,0.7387034779678757,0.027157648270136763,2.4050271330391078,50,3900.660757906735,10500.89208984375
scene0013_02,100,4,0.0004298014100641012,0.0009355995571240783,0.0009780052350834012,0.043120238475970886,0.04002642846822296,0.08073721336435774,1.6702955674713207,3.3476881479303806,0.49923356925924417,0.018790258559635887,2.4358101346267493,100,12564.885342959315,14986.95654296875
scene0013_02,200,4,0.0003923786571249366,0.0008319873595610261,0.0009184214286506176,0.043676945976224346,0.04054123327959335,0.07890468769762486,1.71065118551899,3.711998169867396,0.36910177312835224,0.015015926882748627,2.4473084236420855,200,44049.9960007146,23959.8974609375
scene0013_02,500,4,0.0005701752961613238,0.0006553958519361913,0.1281900852918625,0.04544112260051886,0.04150723558033768,0.2165523449871125,1.8456061947268434,4.73551822079644,0.27026310975490453,0.011755038015699838,2.443025278842619,500,262321.8910880387,50877.36328125
scene0029_01,25,4,0.00033542769961059093,0.0006544659845530987,0.0007265830063261092,0.03809598744439882,0.03501391491381374,0.06779673818433218,5.179757927353142,6.323404918587116,1.5448861059480077,0.037811084954747325,0.9960433093483292,25,1389.9600799195468,8261.50146484375
scene0029_01,50,4,0.00027553364634513855,0.0005025170394219458,0.000557370251044631,0.03986871180830543,0.034737686652773984,0.09260547312981379,5.045118716008569,6.728585344769175,1.061270085809434,0.026022002116321986,0.9530695381807113,50,3947.117482777685,10500.89208984375
scene0029_01,100,4,0.000292338925646618,0.0005377578781917691,0.0006359452963806689,0.034594850293279945,0.02915131411744871,0.08692620312006856,4.582419771051529,5.7348474112255206,0.773930799541592,0.018167756740872596,0.9671397408014369,100,12726.21971881017,14986.95654296875
scene0029_01,200,4,0.00028147344710305333,0.0005054055945947766,0.0006564807263202965,0.03370179927967586,0.028388541593844324,0.09228481273582527,4.617724538857547,5.894081728798191,0.535330739040529,0.012640787500080812,0.9643703330973072,200,44533.676696009934,23959.8974609375
scene0029_01,500,4,0.0002896225487347692,0.0005374857573769987,0.0006153489812277257,0.03108452507612137,0.025478729083846807,0.10372108201648836,4.002499974225365,5.933995449293207,0.3961448092840621,0.010296155468990712,0.9652016389456096,500,261571.11996924505,50877.36328125
